Rank,Title,Release Year,Rating,Genres,Plot
165,"Lock, Stock and Two Smoking Barrels",1998,8.1,"Action, Comedy, Crime","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
166,El secreto de sus ojos,2009,8.2,"Drama, Mystery, Romance",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
167,Inside Out,2015,8.1,"Animation, Adventure, Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
168,Raging Bull,1980,8.1,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
169,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy, Crime, Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
170,Trainspotting,1996,8.1,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
171,The Bridge on the River Kwai,1957,8.1,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
172,Spider-Man: No Way Home,2021,8.2,"Action, Adventure, Fantasy","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
173,Fargo,1996,8.1,"Crime, Thriller",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
174,Klaus,2019,8.2,"Animation, Adventure, Comedy","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
175,Catch Me If You Can,2002,8.1,"Biography, Crime, Drama","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
176,Warrior,2011,8.1,"Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
177,Gojira -1.0,2023,8.3,"Action, Adventure, Drama","Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
178,Gran Torino,2008,8.1,Drama,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
179,Tonari no Totoro,1988,8.1,"Animation, Comedy, Family","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
180,Million Dollar Baby,2004,8.1,"Drama, Sport","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
181,Harry Potter and the Deathly Hallows - Part 2,2011,8.1,"Adventure, Family, Fantasy","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
182,Bacheha-Ye aseman,1997,8.2,"Drama, Family, Sport","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
183,12 Years a Slave,2013,8.1,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery."
184,Blade Runner,1982,8.1,"Action, Drama, Sci-Fi",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
185,Before Sunrise,1995,8.1,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
186,Ben-Hur,1959,8.1,"Adventure, Drama","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
187,The Grand Budapest Hotel,2014,8.1,"Adventure, Comedy, Crime","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
188,Barry Lyndon,1975,8.1,"Adventure, Drama, War",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
189,Gone Girl,2014,8.1,"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
190,Hacksaw Ridge,2016,8.1,"Biography, Drama, History","World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
191,The Gold Rush,1925,8.1,"Adventure, Comedy, Drama","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
192,In the Name of the Father,1993,8.1,"Biography, Crime, Drama","An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them."
193,Salinui chueok,2003,8.1,"Crime, Drama, Mystery","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
194,Dead Poets Society,1989,8.1,"Comedy, Drama","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression."
195,On the Waterfront,1954,8.1,"Crime, Drama, Thriller","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
196,Relatos salvajes,2014,8.1,"Comedy, Drama, Thriller",Six short stories that explore the extremities of human behavior involving people in distress.
197,The General,1926,8.1,"Action, Adventure, Comedy","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
198,The Deer Hunter,1978,8.1,"Drama, War",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
199,Mad Max: Fury Road,2015,8.1,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
200,"Monsters, Inc.",2001,8.1,"Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
201,Sherlock Jr.,1924,8.2,"Action, Comedy, Romance","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
202,The Third Man,1949,8.1,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
203,Smultronstället,1957,8.1,"Drama, Romance","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
204,Le salaire de la peur,1953,8.2,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
205,Jaws,1975,8.1,"Adventure, Mystery, Thriller","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
206,How to Train Your Dragon,2010,8.1,"Animation, Action, Adventure","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
207,Mary and Max.,2009,8.1,"Animation, Comedy, Drama","In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome."
208,Mr. Smith Goes to Washington,1939,8.1,"Comedy, Drama","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
209,Ratatouille,2007,8.1,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
210,Ford v Ferrari,2019,8.1,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
211,Tôkyô monogatari,1953,8.1,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention."
212,The Big Lebowski,1998,8.1,"Comedy, Crime","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
213,Det sjunde inseglet,1957,8.1,"Drama, Fantasy","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
214,Room,2015,8.1,"Drama, Thriller","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
215,Rocky,1976,8.1,"Drama, Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
216,Logan,2017,8.1,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
217,Spotlight,2015,8.1,"Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
218,Hotel Rwanda,2004,8.1,"Biography, Drama, History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
219,Platoon,1986,8.1,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
220,The Terminator,1984,8.1,"Action, Adventure, Sci-Fi","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
221,La passion de Jeanne d'Arc,1928,8.1,"Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
222,Before Sunset,2004,8.1,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
223,La haine,1995,8.1,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
224,The Best Years of Our Lives,1946,8.1,"Drama, Romance, War","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
225,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
226,The Exorcist,1973,8.1,Horror,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life."
227,Rush,2013,8.1,"Action, Biography, Drama",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
228,Jai Bhim,2021,8.7,"Crime, Drama, Mystery","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
229,Network,1976,8.1,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
230,Stand by Me,1986,8.1,"Adventure, Comedy, Drama",A writer recounts a childhood journey with his friends to find the body of a missing boy.
231,The Wizard of Oz,1939,8.1,"Adventure, Family, Fantasy","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
232,The Incredibles,2004,8.0,"Animation, Action, Adventure","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
233,Hachi: A Dog's Tale,2009,8.1,"Biography, Drama, Family","Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds."
234,Ah-ga-ssi,2016,8.1,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
235,Into the Wild,2007,8.1,"Adventure, Biography, Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
236,Babam ve Oglum,2005,8.2,"Drama, Family",The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
237,The Sound of Music,1965,8.1,"Biography, Drama, Family",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
238,La battaglia di Algeri,1966,8.1,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
239,The Grapes of Wrath,1940,8.1,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
240,To Be or Not to Be,1942,8.1,"Comedy, Romance, War","During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
241,Groundhog Day,1993,8.0,"Comedy, Drama, Fantasy","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day."
242,Amores perros,2000,8.1,"Drama, Thriller","An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City."
243,Rebecca,1940,8.1,"Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
244,The Iron Giant,1999,8.1,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
245,Cool Hand Luke,1967,8.1,"Crime, Drama","A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
246,The Help,2011,8.1,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
247,It Happened One Night,1934,8.1,"Comedy, Romance","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
248,Aladdin,1992,8.0,"Animation, Adventure, Comedy",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
249,Dances with Wolves,1990,8.0,"Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
250,"Paris, Texas",1984,8.1,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
